device,strategy,candidate_id,family,policy_label,n_runs,renewal_annual_cost,median_annual_cost,p90_annual_cost,median_lifetime_days,p10_lifetime_days,p90_lifetime_days,right_censored_share,eol_within_2y_probability,medium_maintenances_per_year,major_maintenances_per_year,mean_simulated_permeability,mean_annual_below_threshold_days,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap,damage_share
A9,推荐混合方案,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,100,58.72234203019758,55.5485242524608,80.33327345149891,3486.0,2507.5,4231.2,0.0,0.0,5.8192132498991915,0.7113099060619185,55.038815638511494,45.17,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4.0,,,20.0,50.0,35.0,150.0,0.0
A10,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,426.65046396201984,435.5237186585462,482.00239357614873,271.0,243.9,315.3,0.0,1.0,4.702902460077687,1.5369820889080708,36.075758833535374,1.0,,,,,,,,,,,0.0
A10,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,100,379.9511187552241,381.20577869710934,428.3760649257952,308.0,273.7,352.1,0.0,1.0,9.229296598726934,0.0,36.492831648153675,1.0,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.0
A1,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,130.84051923861065,135.09712211618006,230.37768186003686,1016.0,543.0,1697.1000000000001,0.0,0.34,4.877536883270935,1.2219228416799495,59.331477459372394,7.14,,,,,,,,,,,0.4
A1,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,81.22806354009076,83.00988905683828,103.61299291148369,1762.0,1361.2,2359.5,0.0,0.0,7.055301585213444,0.0,64.60081968504689,11.98,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.4
A2,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,273.9877453228174,282.6006029624765,479.2209015809714,409.0,237.8,647.3000000000001,0.0,0.96,5.912199651504037,0.41871102347762296,37.26923110602637,19.41,,,,,,,,,,,0.4
A2,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,100,200.44370701513068,198.76798830202057,247.10853669190448,650.0,510.0,895.1,0.0,0.78,9.964408528198074,0.25678587803759745,43.57871036857362,11.18,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.4
A3,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,99.40860186376331,98.30670133962899,174.33819519851258,1630.0,737.9,2366.4,0.0,0.09,4.998966144771109,1.3041777791722886,54.618352977745936,24.34,,,,,,,,,,,0.4
A3,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,68.10457058073155,69.48585845081303,90.13317546443794,2152.0,1641.5,2760.9000000000005,0.0,0.0,6.020695177005963,0.03965331620421051,56.42633931634457,33.64,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.4
A4,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,96.3635066092381,97.71720459055953,119.89814308637729,1646.0,1237.7,2160.7000000000003,0.0,0.02,5.327127580573297,1.2737368186543891,69.98728320757253,11.82,,,,,,,,,,,0.4
