maintenance_type,relative_day,n_events,mean_effect,median_effect,ci95_low,ci95_high
大维护,5,16,17.59552029393506,18.710174628922623,14.391709783396768,20.803247988189256
大维护,6,16,16.865485090415063,18.04931937778204,13.305577900036598,20.171020459934496
大维护,7,16,16.590092614019355,17.61038799967169,13.337865992224113,19.719351467520518
大维护,8,17,16.922866411200197,18.128669174027195,13.764369614828901,19.99572650842462
大维护,9,16,16.612511793343415,17.779092165060305,13.121850969567975,20.14401492735286
大维护,10,16,16.63358577197456,17.95871971034475,12.858507963437,19.885975592458596
大维护,11,16,16.826922064781805,17.707512498837936,13.129274242309174,20.07999465089913
大维护,12,15,16.311117674448138,17.088409194415483,12.191750529264409,19.868182603464327
大维护,13,16,16.634053806307275,17.24837757990793,12.97232438627969,19.859824713333186
大维护,14,15,16.09330424898015,17.01434994165777,12.200490909489448,19.666770008717233
大维护,15,16,16.332729290565013,16.799041679364944,12.241238979853652,19.88041874099151
大维护,16,16,16.688298697797048,16.39390313930673,13.132280623506599,20.387736358163693
大维护,17,16,16.689886495395385,16.57183716034217,13.288955620694354,20.29652823388495
大维护,18,16,16.542614757979592,16.548930851395813,12.647310622535826,20.167890902642295
大维护,19,15,17.236354771151998,16.891844827733962,13.412092843039607,20.703717320278944
大维护,20,16,16.350213148860696,15.994447319198247,12.639041022394377,19.86558906565197
大维护,21,15,16.501311307489814,16.748213460841043,12.569224195023741,20.288140155748305
大维护,22,16,16.247302043185506,16.62656149476944,12.21471364930334,19.77071447549378
大维护,23,14,16.212705886963892,16.413703739475427,11.812897469745998,20.285539761284248
大维护,24,15,16.737871255535275,16.65865506360484,12.367063378970517,20.578472730322986
大维护,25,15,16.51670179088399,16.070353733708203,12.37205747698822,20.446742506704815
大维护,26,16,16.254007747463895,16.34667258617432,12.040356103662836,20.297149014025976
大维护,27,16,16.235499904704874,16.310233309766286,12.393878316829188,19.9988477284149
大维护,28,15,15.704876812168795,15.59460738630267,11.739077453974515,19.55650723462731
大维护,29,16,16.43149036999996,16.00590163003739,12.439239813756103,20.038953642550332
大维护,30,16,16.609589425671356,16.12792013971956,12.617832894483712,20.19465301082553
