device,month,hour_coverage
A8,2024-04,0.6987179487179488
A8,2024-05,0.7662037037037037
A8,2024-06,0.7658045977011494
A8,2024-07,0.239247311827957
A8,2024-08,0.2728494623655914
A8,2024-09,0.8208333333333333
A8,2024-10,0.7419354838709677
A8,2024-11,0.8160919540229885
A8,2024-12,0.8333333333333333
A8,2025-01,0.6637931034482759
A8,2025-02,0.7116666666666667
A8,2025-03,0.6814516129032258
A8,2025-04,0.6555555555555556
A8,2025-05,0.7138888888888889
A8,2025-06,0.7652777777777777
A8,2025-07,0.7405913978494624
A8,2025-08,0.7284946236559139
A8,2025-09,0.8
A8,2025-10,0.8508064516129032
A8,2025-11,0.8
A8,2025-12,0.7561728395061729
A8,2026-01,0.5456989247311829
A8,2026-02,0.14583333333333331
A8,2026-03,0.15860215053763438
A8,2026-04,0.1625
A9,2024-04,0.7163461538461539
A9,2024-05,0.6838235294117647
A9,2024-06,0.7471264367816093
A9,2024-07,0.23118279569892472
A9,2024-08,0.2688172043010753
A9,2024-09,0.8180555555555556
A9,2024-10,0.8095238095238095
A9,2024-11,0.826388888888889
A9,2024-12,0.7862903225806451
A9,2025-01,0.7376543209876544
A9,2025-02,0.6378205128205128
A9,2025-03,0.6209677419354839
A9,2025-04,0.6944444444444444
A9,2025-05,0.7
A9,2025-06,0.7527777777777778
A9,2025-07,0.7715053763440861
A9,2025-08,0.5288461538461539
A9,2025-09,0.763888888888889
A9,2025-10,0.8010752688172043
A9,2025-11,0.7625
A9,2025-12,0.7819444444444444
A9,2026-01,0.5618279569892474
A9,2026-02,0.16071428571428573
A9,2026-03,0.15994623655913978
A9,2026-04,0.12916666666666665
