pre_observations,pre_slope_per_day,naive_gain_3d,counterfactual_gain_3d,effect_day7,effect_day14,effect_day30,retention_day30,event_id,device,event_date,maintenance_type
21,-0.10615572473273222,17.083379504593907,19.28737714643201,20.415581511009954,20.521853624347603,18.991572316404877,0.9846632941440742,26,A2,2024-08-16,中维护
21,-0.08397308415674992,17.6618849485951,18.20321217636489,18.967223109072176,18.421563060034106,14.376661900994478,0.7897870860210695,27,A2,2024-11-03,中维护
19,-0.2842870107472569,11.10464112145523,12.147142870989535,11.597534370030811,10.245198086993208,7.003820477994978,0.5765817157483083,28,A2,2025-01-01,中维护
16,-0.5788531576953166,21.251837354612633,23.213206222409088,22.857637443033347,23.7648466420838,25.858057647776747,1.1139373596230937,29,A2,2025-02-20,中维护
20,-0.3395619414450522,14.380589526206762,15.936545192182743,15.931286519198418,15.955025027303003,16.349372145112703,1.0259044195559062,30,A2,2025-04-07,中维护
21,-0.5154022690926505,14.944585451026228,16.51983981150101,17.160040463696447,18.645174257154444,19.82351813971519,1.1999824675003312,31,A2,2025-05-28,中维护
21,-0.3818843943724256,18.574842571592143,19.218687119466896,18.96739886972805,20.048679823137007,22.977520762984305,1.1955822278676898,32,A2,2025-07-21,中维护
19,-0.31266191000497023,15.224149210576321,17.515161776882838,17.73480743182035,19.279901952720813,19.92427949825102,1.1375447028155816,33,A2,2025-10-06,大维护
21,-0.2865872582348653,16.935641095810702,19.14304363692554,18.21963359881294,16.957385951811514,15.221459544033685,0.795143125238068,34,A2,2025-12-10,大维护
20,-0.6451151093547571,19.94138557893909,21.812360465128716,21.66490510315461,20.32748335199268,19.463132614901646,0.8922983207625436,35,A2,2026-01-29,大维护
21,-0.5437053607657124,12.504661511232413,15.479270283673337,16.528163246031585,17.502687608944075,17.489036531976357,1.1298359813784509,36,A2,2026-03-12,中维护
15,-0.47101041972765556,,,10.360612204802404,11.527313979376412,13.24967175811793,,37,A3,2024-05-29,中维护
21,-0.3637560640712593,5.224024815322565,5.6216453400930675,6.455628279726343,8.242562628070289,9.27049572266148,1.6490716083679524,38,A3,2024-07-18,中维护
