event_id,device,event_date,maintenance_type,post_7d_level,n_days
91,A7,2024-11-22,中维护,110.34989235935205,7
92,A7,2025-01-20,中维护,91.97286185539897,7
93,A7,2025-02-24,中维护,106.24253574076229,7
94,A7,2025-04-16,大维护,107.49482999307726,5
95,A7,2025-06-16,中维护,96.25287160362149,7
96,A7,2025-09-01,中维护,81.48879333956178,7
97,A7,2025-10-18,中维护,94.55073842448283,6
98,A7,2025-12-22,中维护,80.54138462059998,7
99,A7,2026-02-08,大维护,80.36344888347169,6
100,A7,2026-03-25,中维护,75.48615948726766,7
101,A8,2024-06-02,中维护,126.66104517556346,6
102,A8,2024-08-10,中维护,114.19756331936162,7
103,A8,2024-10-31,中维护,112.72077414616064,7
104,A8,2025-01-03,中维护,101.26896757408085,6
105,A8,2025-02-13,中维护,110.4379703237527,7
106,A8,2025-03-27,中维护,102.79422677068692,7
107,A8,2025-05-13,中维护,107.58000425619288,7
108,A8,2025-07-06,中维护,93.20086897892661,7
109,A8,2025-09-08,中维护,77.44018486464188,7
110,A8,2025-11-03,中维护,88.62151295574772,7
111,A8,2025-12-28,中维护,86.2303409530125,7
112,A8,2026-02-09,中维护,77.54335820828925,7
113,A8,2026-03-31,中维护,70.56812551692431,7
114,A9,2024-05-30,中维护,99.12393774080479,6
115,A9,2024-08-02,中维护,88.454429032049,7
116,A9,2024-10-15,中维护,97.17093281221521,7
117,A9,2024-12-15,中维护,93.14764570458092,7
118,A9,2025-01-31,中维护,95.69591940416618,4
119,A9,2025-03-19,中维护,88.30492700874552,6
120,A9,2025-05-15,大维护,82.51220433597018,7
121,A9,2025-07-09,中维护,79.99634680059198,7
122,A9,2025-09-12,中维护,89.31010677199875,7
123,A9,2025-11-16,中维护,93.12654096979837,7
124,A9,2026-01-09,中维护,82.10804995230517,7
125,A9,2026-02-23,中维护,87.35898327180946,6
126,A9,2026-04-01,大维护,93.711665962974,6
