device,date,predicted_P_mean,predicted_P_std,predicted_P_q05,predicted_P_q95,actual_P,C_mean,F_mean
A8,2025-10-20,80.42448063279463,5.564187229695911,71.2141617351311,88.60860403251385,71.5192286396337,93.12762263306723,17.247870237934997
A8,2025-10-21,78.83679201694757,5.901978373106291,69.01971472912751,87.66137289064834,71.21773176791106,93.07633906263432,17.52611193844221
A8,2025-10-22,79.29189077260929,5.568515405412276,70.34454544073618,87.45713026177357,69.85311291023544,93.02622017026451,17.822323580603562
A8,2025-10-23,78.55763743807208,6.983466095357707,67.16334878486107,91.06647364398641,69.03435148207629,92.97327681968521,18.086257481299803
A8,2025-10-24,77.14780709026053,6.183799748589647,67.38642875187094,88.58683376848718,68.1136477715691,92.92031237955065,18.370403630124812
A8,2025-10-25,76.63132508743782,7.0495518623461475,66.43039123481424,87.94121367338853,66.7678541026985,92.86938863071582,18.658024043618774
A8,2025-10-26,76.26484076603356,6.423579000328271,64.38064361565955,86.6287408435246,65.62765366503235,92.81755274296755,18.950092816511873
A8,2025-10-27,75.97903591667809,5.191772270960455,67.93116990119553,85.47087817365501,65.94451366207245,92.76138529899596,19.2465838085417
A8,2025-10-28,74.28111276337098,6.4370628909963985,64.44040099549262,85.18200757633382,65.2067677086371,92.71114616795688,19.539337187949574
A8,2025-10-29,74.16951542851494,6.034106510018026,64.912946823222,83.0919257649662,64.79247929830704,92.65620726033357,19.823292561102505
A8,2025-10-30,73.11244146202414,6.409184499171443,61.97045275866597,84.05185502869297,64.45599056014521,92.6035792297041,20.11916359709526
A8,2025-10-31,71.73943956363564,5.501543142617888,63.59850478567201,80.98930281748483,64.2119270453591,92.55370544989808,20.402243262568337
A8,2025-11-01,72.09312733731612,6.3396546331322154,61.21734274047805,81.99229925801217,64.2136659250144,92.49842209234136,20.691223227022082
A8,2025-11-02,71.81858621177716,6.072282294121611,63.027719286041595,82.88393466310906,63.4786513388506,92.4474848391853,20.976821004839877
A8,2025-11-03,70.43449667258169,6.293266247580938,60.949504965848966,81.71420556326386,,91.60465495138267,6.31048401864269
A8,2025-11-04,83.96709776998333,6.4619917477447295,72.95907606477722,93.92906438707577,89.2709077160329,91.5504044404269,6.581699462523188
A8,2025-11-05,82.54578778911015,5.570904567475646,73.71372731191079,91.82538505974647,88.5433738473829,91.49666325633045,6.861418303955112
A8,2025-11-06,82.25746605289629,6.264054943508218,72.82433331881948,94.0167946029032,88.1021650936581,91.4498550807012,7.154214437201677
A8,2025-11-07,81.18184690667763,5.979532843362645,71.84881666244426,90.66126290732626,88.1152443285524,91.40108322165744,7.452161442848961
A8,2025-11-08,81.08967144476331,5.7236975393075715,72.40488703479704,91.38064930977745,87.9106074637061,91.34727510306388,7.745701227766343
A8,2025-11-09,80.59330888689448,5.856059920837884,70.77786541270306,89.15687747346601,87.2792925245919,91.29394453761317,8.028197657777776
A8,2025-11-10,81.1560226546937,6.070761060296721,70.40030615699877,90.8300311691549,86.18958156212805,91.24745137894539,8.313320812752082
A8,2025-11-11,79.098930917163,6.558398772892838,69.21810096346279,89.04696132475759,85.59485260838645,91.19609914999063,8.584435358117803
A8,2025-11-12,78.76889098337574,6.781200374246099,68.94000056191382,89.80194352621197,84.97445711043696,91.14724053051962,8.880235325066153
A8,2025-11-13,77.27994625821947,6.4876194440630375,66.3550205189247,86.2400886555861,84.38079022600255,91.09574838845279,9.173747659364935
A8,2025-11-14,77.16269088515656,6.545123008111612,64.97398117148698,86.5926101247515,84.0306733879691,91.04233316945164,9.464164490774944
A8,2025-11-15,76.9922267084874,5.9141624623487585,67.45978617246125,85.3307734986643,82.6599136862846,90.99146907371406,9.766774858787043
A8,2025-11-16,74.20846990689091,5.169307169322019,65.77171832636343,82.69897474471155,82.0118101516131,90.93931996994473,10.06140122718106
A8,2025-11-17,75.61422220536711,6.1640647205833785,63.7810560913374,85.46385925529202,81.35673993858136,90.88683171157804,10.341581886221054
A8,2025-11-18,74.301702057271,6.19932669026098,64.68491051384078,84.06242976552466,81.3653893396278,90.83550651626727,10.636612200937806
A8,2025-11-19,73.75011082737765,6.099308568577579,64.27710051169953,83.75475824595433,81.1874255719617,90.7796875493722,10.939466609347075
A8,2025-11-20,73.14948842462536,6.465034538840062,61.747974456891384,84.16884436287262,80.3507289444487,90.72882278758533,11.224631622370234
A8,2025-11-21,71.89468891307538,5.970326684000072,62.91242011629266,80.26695012432516,79.6262852705623,90.67649434553783,11.503435854757196
A8,2025-11-22,73.08473123617355,5.1399656573484975,64.83326787284226,81.21013280030178,79.55535558314375,90.62849460877118,11.806740846208779
A8,2025-11-23,70.69326599798636,5.782319822799701,62.11186814486863,79.5152829648388,78.6211265314824,90.57698232031585,12.115770554143541
A8,2025-11-24,69.76662370295311,5.624445659589596,60.958417947559894,78.4204327841067,78.5891918203432,90.52046107235076,12.407657425971447
A8,2025-11-25,69.75209692120623,6.549584287247939,60.44030907114069,80.62315728578122,77.6382300251255,90.46909963124322,12.721158955395651
A8,2025-11-26,69.97659375333158,6.393161299357426,59.42509650189481,80.57313356857486,76.69760326184445,90.41665348798095,13.002792209791137
A8,2025-11-27,68.78398080966562,5.818889626911545,58.630729347600685,77.70702157399981,76.7257594163244,90.36590642709392,13.281100468465134
A8,2025-11-28,68.349073669049,5.757873839319083,58.79900121384434,78.18916020221309,76.464778720926,90.31313399035591,13.560698681127503
