device,strategy,candidate_id,family,policy_label,n_runs,renewal_annual_cost,median_annual_cost,p90_annual_cost,median_lifetime_days,p10_lifetime_days,p90_lifetime_days,right_censored_share,eol_within_2y_probability,medium_maintenances_per_year,major_maintenances_per_year,mean_simulated_permeability,mean_annual_below_threshold_days,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap
A9,第四问候选复核,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,200,61.88940232560817,61.36637030322241,70.56640065554605,3487.0,2738.9,4338.599999999999,0.0,0.005,9.854819622930346,0.06621379365910647,57.508679925754514,28.745,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A9,第四问候选复核,S31,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却35日,200,62.06614294339189,61.36637030322241,70.56640065554605,3487.0,2738.9,4338.599999999999,0.0,0.005,9.832967254118392,0.08873192364085905,57.50814522604301,29.935,堵塞损失≥10触发，维护后储备阈值60，冷却35日,,,4,,,10.0,60.0,35,150
A9,第四问候选复核,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,200,57.37221831407531,54.28594020618557,82.73942086345384,3271.0,2527.1,4219.1,0.0,0.0,5.846230467580674,0.5860444231575166,55.288813286053994,39.27,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A9,第四问候选复核,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,200,57.54178037096737,54.28594020618557,83.12712004164825,3267.0,2498.6,4219.1,0.0,0.005,5.7692147024769,0.5887517878629646,55.156414823596485,39.51,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4,,,20.0,50.0,35,150
A9,第四问候选复核,S34,状态触发,堵塞损失≥20触发，维护后储备阈值60，冷却21日,200,59.45375107044666,54.28594020618557,91.72839946881541,3289.0,2500.9,4219.1,0.0,0.0,5.539578356695362,0.8258608644701853,55.31559919297759,42.42,堵塞损失≥20触发，维护后储备阈值60，冷却21日,,,4,,,20.0,60.0,21,150
A10,第四问候选复核,S28,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却21日,200,383.9025124134274,387.8924672663402,435.08302320025484,308.0,272.0,356.4,0.0,1.0,10.582278125050218,0.0,36.488789290208025,1.0,堵塞损失≥10触发，维护后储备阈值50，冷却21日,,,4,,,10.0,50.0,21,150
A10,第四问候选复核,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,200,382.39633713234105,384.22402597402595,431.0487132352941,308.0,272.0,355.1,0.0,1.0,9.540155942272301,0.0,36.48451933229727,1.0,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A10,第四问候选复核,S30,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却21日,200,383.9025124134274,387.8924672663402,435.08302320025484,308.0,272.0,356.4,0.0,1.0,10.582278125050218,0.0,36.488789290208025,1.0,堵塞损失≥10触发，维护后储备阈值60，冷却21日,,,4,,,10.0,60.0,21,150
A10,第四问候选复核,S31,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却35日,200,382.39633713234105,384.22402597402595,431.0487132352941,308.0,272.0,355.1,0.0,1.0,9.540155942272301,0.0,36.48451933229727,1.0,堵塞损失≥10触发，维护后储备阈值60，冷却35日,,,4,,,10.0,60.0,35,150
A10,第四问候选复核,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,200,406.7720898552273,412.6351683029453,455.832,277.0,251.0,312.1,0.0,1.0,5.1967653186601845,0.07804904108125434,36.24371295915316,1.0,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A10,第四问候选复核,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,200,406.7720898552273,412.6351683029453,455.832,277.0,251.0,312.1,0.0,1.0,5.1967653186601845,0.07804904108125434,36.24371295915316,1.0,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4,,,20.0,50.0,35,150
A10,第四问候选复核,S34,状态触发,堵塞损失≥20触发，维护后储备阈值60，冷却21日,200,406.9688802408008,412.6351683029453,455.832,277.0,251.0,312.1,0.0,1.0,5.158751291276316,0.09758041534570584,36.24267753393108,1.0,堵塞损失≥20触发，维护后储备阈值60，冷却21日,,,4,,,20.0,60.0,21,150
