scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost
purchase_maintenance_0.90_0.70,购置价×维护价,0.9,0.7,0.7,270.0,2.0999999999999996,8.399999999999999
purchase_maintenance_0.90_0.80,购置价×维护价,0.9,0.8,0.8,270.0,2.4000000000000004,9.600000000000001
purchase_maintenance_0.90_0.90,购置价×维护价,0.9,0.9,0.9,270.0,2.7,10.8
purchase_maintenance_0.90_1.00,购置价×维护价,0.9,1.0,1.0,270.0,3.0,12.0
purchase_maintenance_0.90_1.10,购置价×维护价,0.9,1.1,1.1,270.0,3.3000000000000003,13.200000000000001
purchase_maintenance_0.90_1.20,购置价×维护价,0.9,1.2,1.2,270.0,3.5999999999999996,14.399999999999999
purchase_maintenance_0.90_1.30,购置价×维护价,0.9,1.3,1.3,270.0,3.9000000000000004,15.600000000000001
purchase_maintenance_0.90_1.40,购置价×维护价,0.9,1.4,1.4,270.0,4.199999999999999,16.799999999999997
purchase_maintenance_0.90_1.50,购置价×维护价,0.9,1.5,1.5,270.0,4.5,18.0
purchase_maintenance_1.00_0.50,购置价×维护价,1.0,0.5,0.5,300.0,1.5,6.0
purchase_maintenance_1.00_0.60,购置价×维护价,1.0,0.6,0.6,300.0,1.7999999999999998,7.199999999999999
purchase_maintenance_1.00_0.70,购置价×维护价,1.0,0.7,0.7,300.0,2.0999999999999996,8.399999999999999
purchase_maintenance_1.00_0.80,购置价×维护价,1.0,0.8,0.8,300.0,2.4000000000000004,9.600000000000001
purchase_maintenance_1.00_0.90,购置价×维护价,1.0,0.9,0.9,300.0,2.7,10.8
purchase_maintenance_1.00_1.00,购置价×维护价,1.0,1.0,1.0,300.0,3.0,12.0
purchase_maintenance_1.00_1.10,购置价×维护价,1.0,1.1,1.1,300.0,3.3000000000000003,13.200000000000001
purchase_maintenance_1.00_1.20,购置价×维护价,1.0,1.2,1.2,300.0,3.5999999999999996,14.399999999999999
purchase_maintenance_1.00_1.30,购置价×维护价,1.0,1.3,1.3,300.0,3.9000000000000004,15.600000000000001
purchase_maintenance_1.00_1.40,购置价×维护价,1.0,1.4,1.4,300.0,4.199999999999999,16.799999999999997
purchase_maintenance_1.00_1.50,购置价×维护价,1.0,1.5,1.5,300.0,4.5,18.0
purchase_maintenance_1.10_0.50,购置价×维护价,1.1,0.5,0.5,330.0,1.5,6.0
