scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost,optimal_factory_annual_cost,original_plan_annual_cost,absolute_regret,relative_regret,original_plan_near_optimal_5pct,replacement_rate_per_year,medium_maintenances_per_year,major_maintenances_per_year,average_median_lifetime_years,fixed_policy_devices,threshold_policy_devices,state_policy_devices
purchase_maintenance_1.00_0.80,购置价×维护价,1.0,0.8,0.8,300.0,2.4000000000000004,9.600000000000001,1436.0885676936514,1436.8890382215877,0.8004705279363407,0.0005573963514115922,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
purchase_maintenance_1.00_0.90,购置价×维护价,1.0,0.9,0.9,300.0,2.7,10.8,1460.7471993387353,1460.9403887252824,0.19318938654714657,0.00013225381272995173,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_maintenance_1.00_1.00,购置价×维护价,1.0,1.0,1.0,300.0,3.0,12.0,1484.8177586971306,1484.9917392289767,0.17398053184615492,0.00011717298693869072,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_maintenance_1.00_1.10,购置价×维护价,1.0,1.1,1.1,300.0,3.3000000000000003,13.200000000000001,1508.888318055526,1509.0430897326712,0.15477167714516327,0.00010257331526339497,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_maintenance_1.00_1.20,购置价×维护价,1.0,1.2,1.2,300.0,3.5999999999999996,14.399999999999999,1532.7548442476414,1533.0944402363652,0.33959598872388597,0.00022155923368852765,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
purchase_maintenance_1.00_1.30,购置价×维护价,1.0,1.3,1.3,300.0,3.9000000000000004,15.600000000000001,1556.5275831897816,1557.1457907400597,0.6182075502781572,0.0003971709572992395,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
purchase_maintenance_1.00_1.40,购置价×维护价,1.0,1.4,1.4,300.0,4.199999999999999,16.799999999999997,1580.300322131922,1581.1971412437545,0.8968191118324285,0.000567499164097217,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
purchase_maintenance_1.00_1.50,购置价×维护价,1.0,1.5,1.5,300.0,4.5,18.0,1604.0730610740625,1605.248491747449,1.1754306733864723,0.0007327787629569829,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
purchase_maintenance_1.10_0.50,购置价×维护价,1.1,0.5,0.5,330.0,1.5,6.0,1483.7495882142543,1489.1828101297076,5.4332219154532595,0.0036618186509438807,True,4.1050354642030324,82.09051083005414,0.992019797028744,3.8666666666666667,0,0,10
purchase_maintenance_1.10_0.60,购置价×维护价,1.1,0.6,0.6,330.0,1.7999999999999998,7.199999999999999,1509.3952668232769,1513.234160633402,3.838893810125228,0.0025433323493883023,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
purchase_maintenance_1.10_0.70,购置价×维护价,1.1,0.7,0.7,330.0,2.0999999999999996,8.399999999999999,1534.503180266041,1537.2855111370966,2.782330871055592,0.0018131802571912635,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
purchase_maintenance_1.10_0.80,购置价×维护价,1.1,0.8,0.8,330.0,2.4000000000000004,9.600000000000001,1559.6110937088051,1561.336861640791,1.7257679319859562,0.0011065373534129106,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
purchase_maintenance_1.10_0.90,购置价×维护价,1.1,0.9,0.9,330.0,2.7,10.8,1584.7190071515697,1585.3882121444858,0.669204992916093,0.000422286215976513,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
purchase_maintenance_1.10_1.00,购置价×维护价,1.1,1.0,1.0,330.0,3.0,12.0,1609.2289752084484,1609.4395626481798,0.21058743973139826,0.000130862321630842,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_maintenance_1.10_1.10,购置价×维护价,1.1,1.1,1.1,330.0,3.3000000000000003,13.200000000000001,1633.2995345668437,1633.4909131518743,0.19137858503063399,0.0001171729869386072,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_maintenance_1.10_1.20,购置价×维护价,1.1,1.2,1.2,330.0,3.5999999999999996,14.399999999999999,1657.370093925239,1657.542263655569,0.17216973033009708,0.00010388128213556589,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
