scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost,device,optimal_candidate_id,optimal_family,optimal_policy_label,optimal_annual_cost,original_candidate_id,original_annual_cost,absolute_regret,relative_regret,replacement_rate_per_year,medium_maintenances_per_year,major_maintenances_per_year,median_lifetime_days,eol_within_2y_probability
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A9,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,53.8559517751302,S33,54.00926964378959,0.15331786865938568,0.00284681383590709,0.10933664611147696,5.846230467580674,0.5860444231575166,3271.0,0.0
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A10,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,382.39633713234105,S29,382.39633713234105,0.0,0.0,1.1792528976850805,9.540155942272301,0.0,308.0,1.0
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A1,S36,状态触发,堵塞损失≥30触发，维护后储备阈值50，冷却21日,53.09579149584794,S32,53.42439427629042,0.3286027804424805,0.006188866785575219,0.2187577673231895,5.6319187197355145,0.00875031069292758,1637.0,0.0
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A2,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,118.71557926697652,S29,118.71557926697652,0.0,0.0,0.5255925057200005,9.98100168362281,0.1708175643590002,681.0,0.66
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A3,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,46.48405583983656,S32,46.48405583983656,0.0,0.0,0.17037424025450018,5.916245492837518,0.05196414327762255,2093.0,0.0
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A4,S36,状态触发,堵塞损失≥30触发，维护后储备阈值50，冷却21日,44.0644795507106,S32,45.189287207431086,1.1248076567204848,0.025526402857567524,0.1818516757488779,4.4244512709701995,0.06546660326959604,2002.0,0.0
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A5,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,120.43371718432438,S32,120.43371718432438,0.0,0.0,0.6160449995361742,6.262097420285212,0.0,576.0,0.92
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A6,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,59.47875468095332,S32,59.48409650950516,0.0053418285518347375,8.981069930748454e-05,0.2356200791528644,6.353495434356988,0.1284129431383111,1491.0,0.0
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A7,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,79.8086074545582,S29,79.8086074545582,0.0,0.0,0.30115887418938586,9.737972196913791,0.07528971854734647,1262.0,0.005
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A8,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,135.6239214519488,S29,135.6239214519488,0.0,0.0,0.6392530234349021,9.678290774804417,0.0926916883980608,557.0,0.945
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A9,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,42.611771089025915,S33,42.61567870683588,0.003907617809964847,9.170277860079844e-05,0.10933664611147696,5.846230467580674,0.5860444231575166,3271.0,0.0
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,A10,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,223.1971959448552,S29,223.1971959448552,0.0,0.0,1.1792528976850805,9.540155942272301,0.0,308.0,1.0
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A1,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,71.23767025082253,S32,71.23767025082253,0.0,0.0,0.19978831463992977,6.783812223598816,0.00899047415879684,1785.0,0.0
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A2,S28,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却21日,175.3630187885586,S29,176.1962152662858,0.8331964777271992,0.004751266735045281,0.5186110736420625,11.987694967236276,0.0,692.0,0.635
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A3,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,61.49764685886343,S32,61.49764685886343,0.0,0.0,0.17037424025450018,5.916245492837518,0.05196414327762255,2093.0,0.0
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A4,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,60.818709958262,S32,60.818709958262,0.0,0.0,0.1706189696529463,5.484546779493959,0.048626406351089696,2060.0,0.0
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A5,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,191.96450310671193,S32,195.14596060432285,3.1814574976109213,0.016573155172560042,0.5864219829973749,9.71994436818149,0.0,604.0,0.87
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A6,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,82.71024653020808,S32,82.71173320872654,0.0014866785184608489,1.7974538595020055e-05,0.2356200791528644,6.353495434356988,0.1284129431383111,1491.0,0.0
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A7,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,107.31879300429168,S29,107.31879300429168,0.0,0.0,0.30115887418938586,9.737972196913791,0.07528971854734647,1262.0,0.005
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A8,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,208.85738706967462,S29,208.85738706967462,0.0,0.0,0.6392530234349021,9.678290774804417,0.0926916883980608,557.0,0.945
